group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
1;L;MOV,;0,;0x2080,;Not found;0;Success;8;8;0;8;0;1;
2;SS;VMOVQ,MOV,;0,8,;0x2196,0x219a,;Not found;0;Success;16;16;0;16;0;1;
1;L;MOV,;0,;0x213b,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;0,;0x20e1,;Not found;0;Success;8;8;0;8;0;1;
33;SSLLLSSSSLLLLSSLSSLLLLSLSSSLLLLLL;MOV,MOV,VMOVD,MOV,MOV,MOV,MOV,MOV,MOV,VMOVD,VPINSRD,MOV,MOV,MOV,MOV,MOV,MOV,MOV,VMOVD,MOV,VPINSRD,MOV,MOV,MOV,MOV,MOV,MOV,VMOVD,VPINSRD,MOV,MOV,MOV,MOV,;-72,-64,-52,-64,-72,-64,-88,-80,-72,-52,-64,-72,-80,-64,-80,-88,-88,-72,-52,-72,-64,-80,-80,-88,-88,-72,-64,-52,-64,-72,-88,-80,-56,;0x2042,0x2046,0x204f,0x2059,0x2069,0x2074,0x2078,0x207c,0x209f,0x20a8,0x20b2,0x20c5,0x20c9,0x20cd,0x20d1,0x20d9,0x20dd,0x20e9,0x2113,0x2118,0x2120,0x2127,0x212b,0x212f,0x2133,0x214a,0x2163,0x216b,0x2170,0x2177,0x217b,0x217f,0x2183,;Success;0;Success;220;40;180;40;0;1;
4;SSSS;MOV,MOV,MOV,MOV,;0,0,0,0,;0x2088,0x20e4,0x213e,0x2191,;Indirect;0;Success;32;8;24;8;0;4;
4;LLLL;MOV,MOV,MOV,MOV,;0,0,0,0,;0x203e,0x209b,0x20d5,0x2137,;Success;0;Success;32;8;24;8;0;4;
4;SSSS;MOV,MOV,MOV,MOV,;12220,12092,12006,11935,;0x206d,0x20ed,0x2143,0x218a,;RIP based value;0;Success;32;32;0;293;0;1;
4;SSSS;VMOVQ,MOV,MOV,VMOVQ,;0,8,8,0,;0x20f4,0x20f8,0x214e,0x2157,;Not found;0;Success;32;16;16;16;0;1;
2;SS;VMOVQ,MOV,;0,8,;0x2093,0x2097,;Not found;0;Success;16;16;0;16;0;1;
1;L;MOV,;0,;0x2187,;Not found;0;Success;8;8;0;8;0;1;
