block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;flops;
246;measure;kernel.c:13-13,kernel.c:131-135;80.71;13.42;13.12;13.35;13.82;2.025824546814;0.21227940917015;8;;
245;measure;kernel.c:131-131;1.1;0.18;0.14;0.18;0.21;0.17322508990765;0.028284268453717;8;;
235;measure;kernel.c:121-121;0.61;0.1;0.05;0.1;0.15;0.19076132774353;0.031594526022673;8;;
242;measure;kernel.c:121-121,kernel.c:131-131;0.57;0.1;0.06;0.09;0.12;0.11638120561838;0.019086269661784;8;;
239;measure;kernel.c:121-121;0.03;0.01;0;0.01;0.01;0.026984313502908;0.004472135566175;5;;
241;measure;kernel.c:121-121;0.02;0;0.01;0.01;0.01;0.0012103494955227;0;2;;
251;measure;kernel.c:118-121;0.01;0;0.01;0.01;0.01;0;0;1;;
236;measure;kernel.c:121-121;0.01;0;0;0;0;5.1319057092769e-05;4.6566128730774e-10;2;;
243;measure;kernel.c:123-127;0.01;0;0;0;0;5.1319057092769e-05;4.6566128730774e-10;2;;
238;measure;kernel.c:121-121;0;0;0;0;0;0;0;1;;
141;measure;driver.c:88-88;0;0;0;0;0;0;0;1;;
145;measure;driver.c:87-87;0;0;0;0;0;0;0;1;;
