Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0;83.09;0;26471.99;16.91;0;0;0;0;16.62;0;0;
merry;_ALL;_ALL;0;83.09;0;26471.99;16.91;0;0;0;0;16.62;0;0;
merry;28891;_ALL;0;83.09;0;26471.99;16.91;0;0;0;0;16.62;0;0;
merry;28891;28891;0;88.25;0;3233;11.75;0;0;0;0;16.16;0;0;
merry;28891;28909;0;81.46;0;3322;18.54;0;0;0;0;16.61;0;0;
merry;28891;28912;0;83.09;0;3324;16.91;0;0;0;0;16.62;0;0;
merry;28891;28908;0;83.2;0;3316;16.8;0;0;0;0;16.58;0;0;
merry;28891;28911;0;81.41;0;3325;18.59;0;0;0;0;16.62;0;0;
merry;28891;28914;0;82.38;0;3320;17.62;0;0;0;0;16.6;0;0;
merry;28891;28913;0;82.66;0;3321;17.34;0;0;0;0;16.6;0;0;
merry;28891;28910;0;82.39;0;3311;17.61;0;0;0;0;16.55;0;0;
